Issuer,Future Predictions
JULI,"[37199.99909198459, 37199.99924736121, 37199.999414431164, 37199.99957809737, 37199.99972782226, 37199.99985722685, 37199.999963365655, 37200.00004589517, 37200.00010626244, 37200.00014702551, 37200.000171292806, 37200.00018231897, 37200.00018321851, 37200.00017679209, 37200.00016543409, 37200.00015110095, 37200.00013532542, 37200.00011925317, 37200.000103696286, 37200.00008919002, 37200.0000760506, 37200.00006442756, 37200.00005434827, 37200.00004575656, 37200.00003854257, 37200.000032566815, 37200.0000276769, 37200.000023719724, 37200.00002054964, 37200.0000180337]"
JUSK,"[487364.4734919071, 487402.15986967087, 487455.8053910732, 487528.95526587963, 487619.87678706646, 487724.3635803461, 487837.49110996723, 487954.426035285, 488070.9505826235, 488183.7361305952, 488290.19501805305, 488388.6971324682, 488478.2735258341, 488558.4454238415, 488629.2128264904, 488690.90631604195, 488744.0502643585, 488789.35143351555, 488827.4823874235, 488859.33227837086, 488885.6192678213, 488907.0615172386, 488924.41138625145, 488938.21604549885, 488949.09106194973, 488957.51520991325, 488963.94446492195, 488968.7208086252, 488972.2090214491, 488974.65988993645]"
KARO,"[74193.57711747289, 74280.77140748501, 74459.82951894403, 74653.70188653469, 74820.2837228775, 74941.86975955963, 75016.73659682274, 75051.9615650177, 75058.24517607689, 75046.63703143597, 75026.71320736408, 75005.82663118839, 74988.97295743227, 74979.05697822571, 74977.30418145657, 74983.69619399309, 74997.41541147232, 75017.16652810574, 75041.46683216095, 75068.817076087, 75097.84662425518, 75127.35203653574, 75156.37791007757, 75184.17278379202, 75210.20751148462, 75234.13116633892, 75255.75450509787, 75275.0077098608, 75291.9293642044, 75306.60949647427]"
KDFO,"[61644.758494151756, 61619.27938821027, 61572.24812169152, 61516.56509691384, 61457.43216034025, 61398.1079160003, 61341.25744220801, 61289.11747178063, 61243.37470969185, 61205.072456318885, 61174.6192115359, 61151.874196808785, 61136.286692507565, 61127.032146882266, 61123.14344253391, 61123.61230077222, 61127.466185204685, 61133.815054968, 61141.881342139095, 61151.010789722204, 61160.673258733004, 61170.45200550929, 61180.033650808036, 61189.19324874878, 61197.77970165014, 61205.699733644724, 61212.907513882965, 61219.39306911081, 61225.16867853701, 61230.26783615351]"
KJUBI,"[143308.32839012146, 143267.779648304, 143255.06180524826, 143254.11051511765, 143255.10144233704, 143252.82514095306, 143244.99398469925, 143231.20027780533, 143212.0555639267, 143188.66401910782, 143162.31667995453, 143134.16302204132, 143105.3015589714, 143076.58731937408, 143048.68280887604, 143022.04102277756, 142997.03001976013, 142973.81967306137, 142952.51190662384, 142933.1237077713, 142915.60977697372, 142899.90216493607, 142885.87629795074, 142873.43591451645, 142862.43945360184, 142852.76234149933, 142844.2856669426, 142836.89618110657, 142830.4523229599, 142824.85783100128]"
KKST,"[32000.00016684366, 32000.00016765934, 32000.000168720057, 32000.000169737235, 32000.000170586325, 32000.000171232794, 32000.00017168731, 32000.000171980384, 32000.000172147164, 32000.000172221087, 32000.000172230837, 32000.00017219865, 32000.00017214165, 32000.000172071916, 32000.000171997992, 32000.000171925538, 32000.000171857624, 32000.00017179642, 32000.000171742664, 32000.00017169636, 32000.000171657317, 32000.00017162491, 32000.000171598513, 32000.000171577354, 32000.00017156059, 32000.000171547726, 32000.000171537977, 32000.000171530875, 32000.000171525782, 32000.000171522493]"
KLST,"[12000.000194207067, 12000.000193719228, 12000.000193057916, 12000.000192369189, 12000.000191717016, 12000.000191126484, 12000.000190605482, 12000.000190154067, 12000.000189768965, 12000.000189445505, 12000.000189178128, 12000.000188960912, 12000.000188787904, 12000.000188652892, 12000.000188550403, 12000.000188474762, 12000.000188421123, 12000.000188385078, 12000.0001883628, 12000.000188351027, 12000.000188347069, 12000.000188348626, 12000.000188354068, 12000.000188361853, 12000.000188370876, 12000.000188380596, 12000.00018839023, 12000.000188399485, 12000.0001884081, 12000.000188415957]"
KMB,"[1395539.4850183728, 1402457.8779305222, 1408661.087932706, 1413488.34490639, 1415965.4549832346, 1418927.2714741232, 1421138.6923141482, 1424289.2460606697, 1425946.5215687158, 1427268.2894743683, 1429380.2950329783, 1432119.603428364, 1434666.5318707826, 1437822.3219947221, 1440469.1210557225, 1442873.6048544648, 1444544.5404775145, 1446393.2093746664, 1447733.2666565182, 1449025.5135358574, 1449751.169200659, 1449761.641955495, 1449477.2080053093, 1449373.391131282, 1449356.6954351666, 1448683.555323601, 1447394.6475834849, 1447550.5246735814, 1446610.2534241679, 1447150.435083032]"
KOMU,"[44626.7915725708, 44623.94857406616, 44614.485454559326, 44601.60799026489, 44587.47367858887, 44573.54106903076, 44560.691928863525, 44549.3688583374, 44539.72291946411, 44531.7177772522, 44525.21524429321, 44520.02649307251, 44515.94982147217, 44512.790966033936, 44510.376262664795, 44508.55464935303, 44507.19909667969, 44506.2068939209, 44505.49335479736, 44504.991245269775, 44504.64849472046, 44504.42361831665, 44504.2857170105, 44504.20904159546, 44504.17613983154, 44504.171562194824, 44504.18758392334, 44504.21504974365, 44504.24823760986, 44504.28400039673]"
KMPR,"[98119.72069740297, 98248.18929433824, 98563.14989328386, 98987.0791077614, 99465.06692171098, 99958.59626531602, 100442.1182870865, 100899.8500108719, 101322.88333177568, 101706.98658227922, 102050.90805292131, 102355.37208318712, 102622.18952178957, 102853.90826463701, 103053.33671569826, 103223.53107929231, 103367.42683649065, 103487.98488378526, 103587.95008659364, 103669.959294796, 103736.5032196045, 103789.72311019899, 103831.6458463669, 103864.06321525575, 103888.58274221422, 103906.59592151643, 103919.28457021715, 103927.72884368898, 103932.79922008516, 103935.23274660112]"
KONF,"[9999.999879781353, 9999.999879803618, 9999.999879741888, 9999.999879589064, 9999.999879374627, 9999.999879134579, 9999.999878899303, 9999.999878689348, 9999.999878515715, 9999.999878382492, 9999.999878287832, 9999.999878227616, 9999.999878195908, 9999.99987818639, 9999.999878193274, 9999.999878211172, 9999.999878235896, 9999.999878264229, 9999.999878293434, 9999.999878321752, 9999.999878348048, 9999.999878371767, 9999.999878392548, 9999.999878410155, 9999.99987842497, 9999.999878437047, 9999.999878446884, 9999.999878454699, 9999.999878460709, 9999.999878465467]"
KONZ,"[64330.960953235626, 64227.149057388306, 64115.58935046196, 64008.77084136009, 63911.88532114029, 63827.42102146149, 63755.800622701645, 63696.20667695999, 63647.33525514603, 63607.782739400864, 63576.1774122715, 63551.36687159538, 63532.33429193497, 63518.28615069389, 63508.46880078316, 63502.27613449097, 63499.114006757736, 63498.54378700256, 63500.067031383514, 63503.280997276306, 63507.862693071365, 63513.43330144882, 63519.729644060135, 63526.48056745529, 63533.48270654678, 63540.564596652985, 63547.58268594742, 63554.38943505287, 63560.96091866493, 63567.18149781227]"
KORZ,"[12000.000042960335, 12000.000042852054, 12000.00004270254, 12000.000042544994, 12000.000042396245, 12000.000042264128, 12000.000042152406, 12000.000042061456, 12000.000041990712, 12000.000041938049, 12000.000041901181, 12000.000041877585, 12000.000041864809, 12000.000041860341, 12000.000041862306, 12000.00004186865, 12000.000041877978, 12000.000041889067, 12000.000041900978, 12000.000041912961, 12000.000041924675, 12000.000041935786, 12000.000041945761, 12000.000041954878, 12000.000041962918, 12000.000041969924, 12000.000041976, 12000.000041981108, 12000.000041985502, 12000.00004198917]"
KPSS,"[24924.415370821953, 24960.239991545677, 25001.24359726906, 25037.251017987728, 25065.657092630863, 25086.929789185524, 25102.51688361168, 25113.92255872488, 25122.391943633556, 25128.834860026836, 25133.882229030132, 25137.94456720352, 25141.27361625433, 25144.033373892307, 25146.326208114624, 25148.22210520506, 25149.770160019398, 25151.00693255663, 25151.97420567274, 25152.71062850952, 25153.245449066162, 25153.608959913254, 25153.835631906986, 25153.949490189552, 25153.975604474545, 25153.933821618557, 25153.845033049583, 25153.72177362442, 25153.575533628464, 25153.41884791851]"
KULT,"[150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0, 150000.0]"
KVAS,"[1227059.5845550299, 1226875.005069375, 1226664.2377972603, 1226474.4099885225, 1226321.9394743443, 1226207.9297482967, 1226126.6211122274, 1226069.6969926357, 1226029.5136779547, 1225999.3425488472, 1225974.5812296867, 1225951.730838418, 1225928.9881050587, 1225905.4110229015, 1225880.945762992, 1225855.7268977165, 1225830.0235718489, 1225804.5355618, 1225779.8280715942, 1225756.1433315277, 1225733.911973238, 1225713.3762270212, 1225694.7514086962, 1225677.9567748308, 1225662.9923254251, 1225649.8311460018, 1225638.4732365608, 1225628.7032812834, 1225620.3059643507, 1225613.2005423307]"
LAJO,"[61499.99993330675, 61499.99993291874, 61499.9999323564, 61499.99993175645, 61499.99993119815, 61499.99993071928, 61499.99993033284, 61499.99993003612, 61499.9999298186, 61499.99992966732, 61499.99992956825, 61499.99992950888, 61499.999929478436, 61499.99992946813, 61499.999929470956, 61499.99992948187, 61499.99992949689, 61499.99992951342, 61499.99992953001, 61499.999929545345, 61499.99992955911, 61499.99992957064, 61499.999929580124, 61499.99992958763, 61499.99992959348, 61499.99992959779, 61499.999929600905, 61499.999929602884, 61499.999929604426, 61499.99992960501]"
LOTO,"[29783.765244483948, 29712.415850162506, 29635.191297531128, 29561.83626651764, 29496.43441438675, 29464.691066741943, 29414.773333072662, 29359.707295894623, 29303.069925308228, 29247.72038459778, 29195.453190803528, 29147.35108613968, 29103.999173641205, 29065.61460494995, 29032.143092155457, 29003.382563591003, 28978.983163833618, 28958.549797534943, 28941.648161411285, 28927.84093618393, 28916.70286655426, 28907.835841178894, 28900.87492465973, 28895.494389533997, 28891.41676425934, 28927.684104442596, 28946.929168701172, 28958.999180793762, 28964.6390914917, 28965.374994277954]"
LHND,"[61499.99953280069, 61499.99953327392, 61499.99953383941, 61499.99953442463, 61499.99953505094, 61499.99953574728, 61499.99953652319, 61499.999537366035, 61499.99953824945, 61499.99953914096, 61499.99954000878, 61499.99954082584, 61499.99954157224, 61499.99954223551, 61499.99954280921, 61499.99954329332, 61499.99954369143, 61499.999544010556, 61499.99954425922, 61499.99954444697, 61499.99954458294, 61499.9995446768, 61499.99954473681, 61499.99954477069, 61499.9995447846, 61499.99954478411, 61499.99954477372, 61499.99954475707, 61499.999544736755, 61499.999544714636]"
LOZP,"[215419.12856698036, 215463.49516510963, 215507.0956349373, 215536.627471447, 215547.70928621292, 215800.2985417843, 215926.56415700912, 215954.13690805435, 215911.58384084702, 215826.24167203903, 215720.2268242836, 215609.50899124146, 215504.44614887238, 215410.91948747635, 215331.54702186584, 215266.7457461357, 215215.59315919876, 215176.43800377846, 215147.34184741974, 215126.3574063778, 215111.68885231018, 215101.78130865097, 215095.3424870968, 215091.33678674698, 215088.96857500076, 215087.6408815384, 215086.92687749863, 215086.52955293655, 215086.25614643097, 215085.98372340202]"
MAGP,"[2204.0635196026415, 580.8405642164871, -2461.391359101981, -6159.367980435491, -9891.540007665753, -13255.862770602107, -16043.546833097935, -18187.05308251083, -19709.71131697297, -20685.70699542761, -21211.540438234806, -21387.420035898685, -21306.353397667408, -21048.525106161833, -20679.392851889133, -20249.893628060818, -19797.93978855014, -19350.338950753212, -18925.00028014183, -18532.878449186683, -18179.74920384586, -17867.665328085423, -17596.086133271456, -17362.84657381475, -17164.783850312233, -16998.29299002886, -16859.557097777724, -16744.871539995074, -16650.797445327044, -16574.125047773123]"
MAKS,"[5114.881157875061, 5114.556789398193, 5122.338056564331, 5133.490324020386, 5145.459771156311, 5156.817317008972, 5166.917443275452, 5175.565958023071, 5182.808637619019, 5188.8028383255005, 5193.740606307983, 5197.811841964722, 5201.183199882507, 5203.994870185852, 5206.359505653381, 5208.363652229309, 5210.07776260376, 5211.553692817688, 5212.831139564514, 5213.943004608154, 5214.913249015808, 5215.763330459595, 5216.508269309998, 5217.161297798157, 5217.734932899475, 5218.239545822144, 5218.6819314956665, 5219.069957733154, 5219.409704208374, 5219.708323478699]"
MAKP,"[56568.03692281246, 56558.97041261196, 56546.15490436554, 56533.38772058487, 56522.2851395607, 56513.3769094944, 56506.65154457092, 56501.8618196249, 56498.682910203934, 56496.788731217384, 56495.887234807014, 56495.73133587837, 56496.11513018608, 56496.873474121094, 56497.87624180317, 56499.01978075504, 56500.22593140602, 56501.43558382988, 56502.60559618473, 56503.706273436546, 56504.71828579903, 56505.630987882614, 56506.43961727619, 56507.145434617996, 56507.75138139725, 56508.26488137245, 56508.69405865669, 56509.04717743397, 56509.33348238468, 56509.562638401985]"
MB,"[3926497.1105679874, 3937804.2485758667, 3949606.122388691, 3959586.050358415, 3967158.203348518, 3972521.9371348624, 3976152.0856097345, 3978543.7608331447, 3980106.9224029784, 3981141.7030438785, 3981850.290346146, 3982359.3832522635, 3982743.8763231044, 3983045.989337564, 3983288.099570573, 3983482.6036363845, 3983636.9870305066, 3983756.2004774814, 3983844.9174612765, 3983907.573831082, 3983948.2885897164, 3983971.6560095553, 3983981.3990354543, 3983981.0821890836, 3983973.7947225575, 3983961.8337720637, 3983947.2588390117, 3983931.574943662, 3983915.81183672, 3983900.761634112]"
MERM,"[96485.08876562119, 96869.50832605362, 97271.11950516701, 97644.78474855423, 98263.16401362419, 98859.28228497505, 99379.39211726189, 99798.56505990028, 100112.95080184937, 100331.53742551804, 100469.65777873993, 100544.55175995827, 100572.67472147942, 100568.2772397995, 100542.91427135468, 100505.42503595352, 100462.27097511292, 100417.88175702095, 100375.1340508461, 100335.73776483536, 100300.54986476898, 100269.8640525341, 100243.6038851738, 100221.45554423332, 100203.0086517334, 100187.79650330544, 100175.36848783493, 100165.26594758034, 100157.10666775703, 100150.53257346153]"
MKSD,"[16438.578647375107, 16472.296610474586, 16505.322721600533, 16531.76381289959, 16549.74715411663, 16596.914944052696, 16617.38109588623, 16617.12616086006, 16607.04821050167, 16593.140622973442, 16578.391268849373, 16564.20148909092, 16551.166132092476, 16539.47840332985, 16529.14952635765, 16520.112961530685, 16512.273308634758, 16505.52314221859, 16499.759045243263, 16494.87679898739, 16490.77699482441, 16487.365034222603, 16484.5447152853, 16482.241481542587, 16480.37275969982, 16478.87201011181, 16477.67509818077, 16476.730716228485, 16475.9883582592, 16475.411146879196]"
MLKR,"[2190500.8792877197, 2189243.173599243, 2187966.537475586, 2186705.446243286, 2185534.2149734497, 2184463.07182312, 2183480.1197052, 2182566.785812378, 2181706.3570022583, 2180885.7202529907, 2180096.5785980225, 2179334.6881866455, 2178598.8569259644, 2177889.4662857056, 2177207.9944610596, 2176556.5156936646, 2175936.532020569, 2175349.1640090942, 2174795.2461242676, 2174275.1836776733, 2173788.571357727, 2173334.8846435547, 2172913.0506515503, 2172521.8534469604, 2172159.790992737, 2171825.647354126, 2171517.6582336426, 2171234.4646453857, 2170974.2546081543, 2170735.764503479]"
MODA,"[9672.37912416458, 9670.03996670246, 9666.184693574904, 9661.763131618498, 9657.288521528242, 9653.039896488188, 9649.148285388945, 9645.668062567709, 9642.605328559874, 9639.940720796583, 9637.642675638197, 9635.674589872358, 9633.99986028671, 9632.58135318756, 9631.382200121878, 9630.375611782072, 9629.532676935194, 9628.82607579231, 9628.238037228582, 9627.748668193815, 9627.342319488524, 9627.005463838575, 9626.726430654524, 9626.495936512945, 9626.305493712423, 9626.148205995558, 9626.017972826956, 9625.911346077917, 9625.824081897734, 9625.75087547302]"
MPOL,"[25452.355009317398, 25445.95392346382, 25436.86906695366, 25427.32083797455, 25418.0998980999, 25409.581768512726, 25401.881861686707, 25395.02084851265, 25388.976335525513, 25383.70353579521, 25379.145604372025, 25375.24569630623, 25371.948689222336, 25369.189125299454, 25366.903269290924, 25365.03599882126, 25363.518410921097, 25362.29538321495, 25361.32901906967, 25360.562473535538, 25359.96129512787, 25359.494477510452, 25359.129291772842, 25358.8485121727, 25358.628022670746, 25358.459210395813, 25358.32484960556, 25358.214604854584, 25358.130198717117, 25358.05785059929]"
MPT,"[5245694.590393841, 5253529.012405634, 5243105.274169683, 5250000.086547315, 5262878.397752047, 5274184.255166531, 5283707.010168195, 5269764.676390171, 5272351.746893406, 5281022.924521089, 5268167.070525587, 5271750.342830241, 5283802.677879512, 5290557.806415737, 5275215.041070163, 5252317.221395612, 5257770.2809407115, 5274672.474895179, 5293669.477326572, 5308965.531676948, 5317673.988271952, 5323859.152837932, 5305043.155512929, 5301549.262901008, 5306146.2536302805, 5309687.306381583, 5314457.666766107, 5318328.840493083, 5320348.192746997, 5278468.641543329]"
MPTE,"[50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0, 50000.0]"
MTUR,"[649871.1222410202, 657363.4386062622, 665255.8279037476, 672072.3429322243, 677450.9391188622, 675682.5748085976, 678818.3185458183, 682525.9923934937, 686446.4700222015, 690022.686123848, 692072.4329352379, 693227.0085811615, 694011.3776922226, 693982.1496605873, 693319.3892240524, 692525.5814194679, 691977.2252440453, 691665.9763455391, 691517.738699913, 691614.4967079163, 691888.4924054146, 709194.9981451035, 713880.8763027191, 712318.0657625198, 714382.5861811638, 715707.5598835945, 710112.7856969833, 703328.3257484436, 702431.4674735069, 702464.3889069557]"
MZHE,"[313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0, 313300.0]"
NEME,"[125151.10618900508, 124954.10598057788, 124730.49302585423, 124544.94423232973, 124410.21859180182, 124318.53632442653, 124256.7012552172, 124212.53306325525, 124176.98319535702, 124144.27367504686, 124111.28151230514, 124076.76245085895, 124040.65080918372, 124003.5273693502, 123966.2414509803, 123929.67687919736, 123894.61493119597, 123861.67464777827, 123831.28801360726, 123803.7106115371, 123779.04886379838, 123757.2870310396, 123738.31239528954, 123721.94928117096, 123707.98193849623, 123696.17415592074, 123686.27616204321, 123678.05186659098, 123671.27014324069, 123665.72044789791]"
MZPU,"[20679.089126549658, 20670.343383308496, 20656.98985327035, 20642.089465074238, 20630.620449408885, 20626.041583996262, 20629.522119089957, 20640.36778984591, 20656.79759997874, 20676.64532642811, 20697.846141550686, 20746.764180436727, 20765.266588702794, 20773.654017597433, 20777.37793959677, 20779.290314018723, 20780.856162495907, 20782.69674517214, 20784.952992200848, 20787.53089960664, 20790.256635844704, 20792.955762892958, 20795.491368509825, 20797.769524529573, 20799.74300153553, 20801.398836076256, 20802.74506397545, 20803.810113854703, 20804.62756939232, 20805.23616932332]"
NOSK,"[3092718.64593029, 3097468.9176678658, 3103570.1078549027, 3109551.1438697577, 3114638.9284729958, 3118564.7977516055, 3121370.418071747, 3123252.544440329, 3124458.268098533, 3125223.5114574432, 3125741.9695705175, 3126155.114285648, 3135125.6228238344, 3138009.220957756, 3138254.374228418, 3137201.801240444, 3135722.007751465, 3134306.3712865114, 3133187.1423125267, 3132433.8837713003, 3132025.4819840193, 3131897.575929761, 3131973.054781556, 3132178.989648819, 3132454.9974501133, 3132755.3828805685, 3133049.1384118795, 3133316.986337304, 3133549.3388026953, 3133743.0338561535]"
OBPP,"[9.512266842648387e-06, 9.548006346449256e-06, 9.600829798728228e-06, 9.659648640081286e-06, 9.717681678012013e-06, 9.770941687747836e-06, 9.818206308409572e-06, 9.858835255727172e-06, 9.893265087157488e-06, 9.92167042568326e-06, 9.94501169770956e-06, 9.963754564523697e-06, 9.978772141039371e-06, 9.990413673222065e-06, 9.99981421045959e-06, 1.000685733743012e-05, 1.0012299753725529e-05, 1.0016199667006731e-05, 1.0019371984526515e-05, 1.0021409252658486e-05, 1.002306817099452e-05, 1.0023941285908222e-05, 1.0024727089330554e-05, 1.0025280062109232e-05, 1.0025367373600602e-05, 1.00255711004138e-05, 1.0025512892752886e-05, 1.0025280062109232e-05, 1.0025134542956948e-05, 1.0024959919974208e-05]"
OILK,"[510081.2840461731, 509840.9843444824, 509385.0100040436, 508834.75840091705, 508266.22009277344, 507723.72484207153, 507230.89814186096, 506797.76668548584, 506426.2753725052, 506113.4719848633, 505853.97124290466, 505641.1635875702, 505468.34647655487, 505329.0730714798, 505217.6094055176, 505128.83365154266, 505058.38334560394, 505002.72512435913, 504958.73630046844, 504924.076795578, 504896.71647548676, 504875.17535686493, 504858.15167427063, 504844.6613550186, 504833.97603034973, 504825.4758119583, 504818.7190294266, 504813.3182525635, 504808.99453163147, 504805.51540851593]"
OKTA,"[279103.0536657572, 279909.94766044617, 280471.7941198349, 274531.9688577652, 273765.7796565294, 273517.44031322, 267659.72644484043, 261944.04490172863, 262785.9623968601, 264524.48818719387, 266019.11941051483, 261532.61902964115, 256908.41413199902, 253113.07646524906, 250487.76767468452, 248972.65037715435, 248360.841958642, 248416.0841783285, 248924.59332215786, 255348.2141034603, 261477.59403586388, 266029.0783829689, 268892.3330925703, 270329.4829983711, 270726.5552507639, 265080.70348262787, 259475.9742500782, 254890.6026611328, 251659.2001644373, 249695.96252584457]"
OMOS,"[3000.0000225435942, 3000.0000245637784, 3000.0000252041355, 3000.0000248658616, 3000.0000238747016, 3000.0000224888936, 3000.00002090614, 3000.0000192716398, 3000.0000176871836, 3000.000016219332, 3000.0000149063562, 3000.0000137660536, 3000.0000128004176, 3000.0000120012846, 3000.0000113537535, 3000.000010839416, 3000.000010438278, 3000.0000101307087, 3000.0000098983146, 3000.0000097244774, 3000.000009595038, 3000.000009497977, 3000.000009423602, 3000.000009364303, 3000.0000093143317, 3000.0000092693663, 3000.0000092267874, 3000.000009184456, 3000.0000091413967, 3000.00000909729]"
OPFO,"[-3736.544863227755, -2202.5672749616206, -272.2979313926771, 1617.9884516634047, 3296.909120026976, 4719.262344110757, 5896.653516031802, 6862.399582006037, 7654.40012421459, 8307.514086738229, 8850.808188319206, 9307.322732172906, 9694.728754274547, 10026.34265087545, 10312.179739400744, 10559.820821136236, 10775.039834529161, 10962.389625608921, 11125.500437244773, 11267.397275194526, 11390.617888048291, 11497.379118949175, 11589.612299576402, 11669.04701590538, 11737.224086001515, 11795.536853000522, 11845.228825509548, 11887.42671199143, 11923.106206580997, 11953.182833641768]"
OPTK,"[183013.00704777244, 183040.74800610545, 182959.7663521767, 182757.2271615267, 182468.02033483985, 182133.7296664715, 181789.71711695197, 181461.21449768546, 181163.56162726882, 180904.20939624312, 180684.982252121, 180504.06000018123, 180357.62788653377, 180241.02485179904, 180149.36018586162, 180078.09616029265, 180023.16285371783, 179981.1027467251, 179949.05796349052, 179924.7319966555, 179906.274881959, 179892.25342869762, 179881.60018622878, 179873.4348267317, 179867.16195940974, 179862.28400766852, 179858.4820121527, 179855.44977188113, 179853.02142798904, 179851.06089115146]"
ORAN,"[8623.253889381886, 8526.730759069324, 8407.543231360614, 8301.908810809255, 8222.211687266827, 8169.210256449878, 8138.819482177496, 8125.580558925867, 8124.278816953301, 8130.579921044409, 8141.172247193754, 8153.685045056045, 8166.523256897926, 8178.690116852522, 8189.626917988062, 8199.079284071922, 8206.99592679739, 8129.861540533602, 8122.963349334896, 8137.76927664876, 8156.809931434691, 8173.673199675977, 8186.617301218212, 8195.837407000363, 8202.158174477518, 8206.463122181594, 8209.477299824357, 8211.723486706614, 8213.540263101459, 8215.127963200212]"
OSPO,"[100000.00005567493, 100000.00005549003, 100000.00005524277, 100000.00005499969, 100000.000054792, 100000.00005463007, 100000.00005451316, 100000.00005443546, 100000.00005438886, 100000.00005436572, 100000.00005435897, 100000.00005436355, 100000.00005437428, 100000.0000543886, 100000.00005440423, 100000.0000544193, 100000.00005443348, 100000.00005444579, 100000.00005445632, 100000.0000544651, 100000.0000544723, 100000.00005447806, 100000.0000544825, 100000.00005448608, 100000.00005448885, 100000.00005449093, 100000.00005449282, 100000.00005449416, 100000.00005449571, 100000.0000544968]"
OTEK,"[4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0]"
PELK,"[50000.00009102654, 50000.00009096696, 50000.00009090615, 50000.000090855, 50000.00009081005, 50000.00009076529, 50000.000090717454, 50000.000090665344, 50000.000090609436, 50000.00009055142, 50000.00009049286, 50000.00009043551, 50000.000090380854, 50000.00009032975, 50000.000090282716, 50000.00009024034, 50000.00009020294, 50000.00009016968, 50000.000090141024, 50000.000090116475, 50000.00009009584, 50000.000090078596, 50000.000090064554, 50000.0000900531, 50000.000090044035, 50000.00009003701, 50000.000090031666, 50000.000090027635, 50000.000090025, 50000.00009002298]"
PGGV,"[61621.85901403427, 64504.31469082832, 68287.13084757328, 71786.82343661785, 74559.25557017326, 76545.92299461365, 77860.81829667091, 78671.64507508278, 79140.4894888401, 79399.31532740593, 79544.23606395721, 79638.93136382103, 79721.51693701744, 79811.33151054382, 79915.7330095768, 80034.54646468163, 80163.8396680355, 80298.21619391441, 80432.15069174767, 80560.96503138542, 80680.97564578056, 80789.77900743484, 80885.95694303513, 80969.02137994766, 81039.15649652481, 81097.11742401123, 81143.94477009773, 81180.8172762394, 78182.23714828491, 77309.33305621147]"
PKB,"[682780.2011370659, 684933.7039887905, 686734.8456382751, 688120.4289197922, 689327.3198604584, 690559.7318708897, 691925.2660870552, 693445.1825916767, 695084.1376185417, 696780.5935442448, 698467.4958884716, 700085.3253901005, 701588.55676651, 702947.0491409302, 704144.5659101009, 705177.0703494549, 706049.0028560162, 706771.083176136, 707357.9332232475, 707825.8344531059, 708191.4719939232, 708471.0375964642, 708679.4222891331, 708830.2612304688, 708935.3954792023, 709004.5131742954, 709046.2708473206, 709067.5309300423, 709073.9448368549, 709069.9529647827]"
POPK,"[1752.6857852935789, 1751.6335546970365, 1751.0854899883268, 1750.8666217327116, 1752.0562708377836, 1754.284471273422, 1755.9997439384458, 1757.2877407073972, 1758.1876218318937, 1758.7351500988004, 1758.9748501777647, 1758.9604556560514, 1758.7484717369077, 1759.5061063766477, 1761.191517114639, 1762.233644723892, 1762.7924382686613, 1762.9612386226652, 1762.8113925456998, 1762.4095082283018, 1761.8204057216642, 1761.104881763458, 1760.317116975784, 1759.5028877258299, 1758.6984038352964, 1759.0883076190946, 1760.5009377002714, 1761.387139558792, 1761.8786990642545, 1762.0442807674406]"
PPIV,"[3308127.865582466, 3310222.4238767624, 3309854.008749962, 3308086.123134613, 3305838.4528656006, 3303587.4026412964, 3301554.35953331, 3299817.4005088806, 3298374.8355903625, 3297188.471282959, 3296210.4812192917, 3295393.208029747, 3294696.092250824, 3294088.5452871323, 3293547.921438217, 3293058.3349142075, 3296836.617937088, 3297885.4180641174, 3298337.6560821533, 3298101.059211731, 3297496.047214508, 3296720.685470581, 3295899.018339157, 3295102.1938791275, 3294365.532623291, 3293702.892388344, 3293116.1321496964, 3292599.843978882, 3292146.0849809647, 3291746.912261009]"
